selected_text_processed,sentiment
respond go,neutral
leave alone,negative
plug best forum,neutral
soooo high,neutral
wow u become,positive
much minimal never gon na get cake,neutral
like,positive
dangerously,negative
lose,negative
uh sunburn,negative
oh marly sorry hope find soon,neutral
interest,positive
clean comming later,neutral
get ta think suppose put,neutral
see wat mean bout call lose friday smh,neutral
free addict,positive
back work,negative
quite heavenly,positive
well much unhappy,negative
ahhh slept na try best though hope,neutral
end,neutral
wonder really busy come add new update tune,neutral
little happy,positive
happy big big hop go write cross wait,neutral
rock nashville tonite one suck encore like still fun pearcy bad,neutral
girl ask shall trim old,neutral
visit,neutral
like,negative
thrill,negative
also bored third,neutral
u guess,neutral
u dissappointed past,negative
zero,positive
rather early,neutral
back later,neutral
torn,negative
lose alone sleepy,negative
give easily,negative
jealous,negative
play tonight na soggy right play,neutral
know agent know,neutral
still smell,neutral
better,positive
extra drink take fb,neutral
ride one one open one,neutral
good ask tha talk say,neutral
pop say hi check probably head later tonight,neutral
say,neutral
tire,negative
even tell,neutral
lucky,positive
fell asleep wait,neutral
happy uk,positive
essex give warn arrive get least one free,neutral
snore annoy n sleep like right honestly wud miss leave,neutral
last past,neutral
join,neutral
tire,negative
eat get ready,neutral
happy,positive
freak,negative
unfortunately,negative
na read bout bed nighty,neutral
best,positive
pretty,positive
certainly huh,neutral
horrible,negative
busy,negative
least get watch let go,neutral
cool wear black go,neutral
safe,positive
allow go,positive
u add email add,neutral
acsm unfathomable think one one yes,neutral
confident,negative
make also low get,neutral
lose,neutral
gloomy must tire come head impulse,neutral
look forward,negative
poor,negative
well,negative
watch go,neutral
absolutely,neutral
good,positive
namaskar say namaskar,neutral
cuss like know,neutral
humous oh,neutral
miss awesome,negative
go normal hope large come last much drink,neutral
terrible,negative
tho,negative
watch want put good,neutral
sprite like,negative
come beat dumbo,neutral
enjoyable,positive
endear,positive
go get hair do arraving late get babtizm whatever,neutral
like,negative
neither,neutral
work sunday boo find two lunchbreak though,neutral
forget still wash,negative
send heal,positive
really bad,negative
ah know feel,neutral
dad,neutral
p like,positive
big almost maybe go home early probably,neutral
great,positive
excite,positive
good,positive
best ever,positive
mess,negative
think iv hurt tooth eilish draw pineapples,neutral
know mander text,neutral
secret,negative
get fix,neutral
cool want find follow english english,neutral
put,neutral
totally love,positive
u help thru hrdest,positive
finally get call counsel late,neutral
impromptu except know swim get,neutral
happy,positive
make else run,neutral
every,negative
diet kill,negative
bore,negative
far good sleep get twitchy,neutral
lately either get turn,neutral
lose,negative
heard wait,neutral
disappoint cyberstalking internet,negative
happy,positive
grab make mom,neutral
go,positive
major,neutral
get updated,neutral
carville head really bald,neutral
go come back vancouver,neutral
feel,positive
download try sneak lil main lol,neutral
alone need coffee,neutral
like,neutral
bad realize put one,neutral
worse,negative
live rock hard,positive
happy,positive
would love though,positive
short larenz,neutral
think,positive
hopefully,positive
yes,neutral
maybe mean eluded new know,neutral
do spa late,neutral
happy,positive
always want go oz,neutral
dedicate go huge,neutral
could ever actually allow,neutral
let know turn,neutral
long back,neutral
w know whether google ki,neutral
sleep,negative
seriously,negative
live,neutral
okay back later,neutral
keep talk newbie,neutral
die,positive
wait tish get drive crv first,neutral
go well,negative
go want,neutral
know,neutral
hopefully,positive
free get,neutral
get chug big,neutral
harm,negative
amazing,positive
big do,neutral
good finally finish easactive pause bad,neutral
well good wonderful neighborhood follow another,positive
amaze,positive
much,positive
waited listen blow tumbleweed old enough know say,neutral
need ask actually ville,neutral
know,neutral
smelly noooo,neutral
great,positive
happy,positive
happy,positive
twitter,neutral
nice,positive
depressed,negative
happy love still,positive
friendly,positive
happy,positive
get,neutral
know force park bc parallel park free,negative
want back,neutral
bath two little keyla,neutral
hahahha true always remember bd never remember even,neutral
hang,neutral
gorgeous,positive
worried,negative
bannished,negative
see know right go go see,neutral
red top build em,neutral
w minus,positive
make sad jump,neutral
upload missy pretty little kitty kitten heaven,neutral
amaze,positive
miss,negative
live want better bad though soon learn,neutral
yeah get twitter finally,neutral
better,positive
stick,negative
like get mlb like televise,neutral
hand find shall indulge magnolia,neutral
definitely pinch,negative
exhaust,negative
go go sunday get much go,neutral
im,negative
get distract like thank new take follow feelin love,positive
sure say big saw u ur last look pretty miss,neutral
sore out marwell though good,neutral
sway sway announce,neutral
pretty well,positive
want early go busyy keep write booo,neutral
officially depressed,negative
realize forward text,neutral
excite,positive
bore,negative
lose,negative
go wan na hide go almost die ever,neutral
bad,negative
smh one,neutral
oh go,positive
get ready work,neutral
party,positive
else,negative
amaze big,neutral
miss ur,negative
bos move,neutral
stupid,negative
think need new,neutral
look forward gig see,neutral
loooove,positive
hungry want,neutral
awesome,positive
know tell send direct tell,neutral
great think get bit though ill,neutral
u really think maybe ur right u use u tell might app,neutral
come home two,neutral
sadly,negative
cant,positive
ehhh check app next though get molar,neutral
miss,negative
omg tango awsome take,positive
yeah real hard know get smile,neutral
good,negative
make,positive
happy,positive
make get watch,neutral
go,neutral
believe go got without,neutral
count,neutral
discover shortcoming integrate subtract url,neutral
peel,negative
perky nail polish chip,neutral
pit longer vandalize without,neutral
one,negative
die,negative
write english original write storyyyyy listen little respect,neutral
stupid,negative
little wormy sadly pass away ok still around happy,neutral
could new attempt back,neutral
good,positive
popular,positive
want,negative
great,positive
wish would come australia say,neutral
hop go red,neutral
lucky,positive
sure,positive
pass away,negative
amazing,positive
like even,neutral
come save pack,neutral
yes,positive
finally go highschool,neutral
electronic stop work,negative
good,positive
poor,negative
goodmorning,positive
really feel like,negative
happy motherï¿½s mom much,positive
saw black go back go,neutral
best,positive
anymore,negative
mum much happy wonderful,positive
feel like,negative
excite,positive
discover share even know sigh,neutral
chill tonite write funny seem like,neutral
u need,neutral
want live,neutral
get,neutral
make much better rough one love new,neutral
want,negative
wish,positive
come,neutral
happen thought come back,neutral
still jealous,negative
forever,negative
easy,negative
good,positive
sharp sharpened,neutral
go usually mr positive one well,neutral
always lee go paris,neutral
nice,positive
bounce make feel nauseous,negative
lovely,positive
play without fave,negative
like,positive
im good,positive
help,positive
lack,negative
good,positive
think good either,neutral
ago come realised go buy,neutral
oh refer lil twitter archive,neutral
like know,negative
best,positive
scar,negative
miss,negative
good,negative
back soon run cut,neutral
transform random,neutral
miss,negative
another,neutral
alone,neutral
live,negative
go well,negative
upload facebook,neutral
wan na bed,neutral
would great act enjoy see,neutral
could make hate sometimes,neutral
hopefully make good,positive
really android,neutral
